Titre,XP,Tri,M,M1,M2
A1,0.833333333333333,MTE,0,0,0
A1,1.16666666666667,MTE,0,0,0
A2,2.25,MTE,0,0,0
A2,1.91666666666667,MTE,0,0,0
A2,3.41666666666667,MTE,0,0,0
A2,4,MTE,0,0,0
A1,0.333333333333333,MTE,2,23,19
A2,1.25,MTE,0,0,0
A2,3.5,MTE,0,0,9
A3,3.91666666666667,FMA,0,0,0
A2,1.25,RKZ,0,0,0
A2,3.25,HMN,0,4,0
A1,1.08333333333333,HMN,0,0,0
A3,5.16666666666667,OGB,0,0,0
A0,0,RKZ,0,0,0
A0;;;;;
A0,0,RKZ,0,0,0
A0;;;;;
A0;;;;;
A3,5.58333333333333,OGB,0,0,0
A2,3,ABH,0,0,19
A1,1.33333333333333,ABH,0,0,9.5
A1,1,ABH,0,0,0
A2,1.41666666666667,ABH,0,0,0
A1,0.333333333333333,ABH,0,0,0
A2,1.5,ABH,0,0,0
A2,2.5,ABH,0,0,0
A1,0.333333333333333,ABH,0,0,0
A1,1.08333333333333,ABH,0,0,0
A0,0.0833333333333333,ABH,0,0,0
A1,1.08333333333333,ABH,0,0,0
A2,2,ABH,0,0,0
A2,2.25,ABH,0,0,0
A2,0.833333333333333,MMA,0,0,0
A1,0.833333333333333,MMA,0,10,19
A2,3,MMA,0,0,19
A2,1.33333333333333,MMA,0,0,0
A2,2.41666666666667,MMA,2,12,19
A1,0.75,MMA,0,0,0
A1,0.75,MMA,0,0,0
A1,1.08333333333333,MMA,0,0,0
A1,1.08333333333333,MMA,0,0,0
A2,3.66666666666667,IKA,0,0,0
A1,1.66666666666667,MMA,0,0,0
A2,3.41666666666667,JML,0,14,19
A1,1.91666666666667,JML,0,0,0
A2,1.41666666666667,JML,0,0,0
A1,1.66666666666667,JML,0,0,0
A0,0.333333333333333,JML,0,0,0
A1,1.08333333333333,JML,0,0,19
A1,0.333333333333333,JML,0,0,0
Stagiaire,0.916666666666667,MTE,0,0,0
A1,2,JML,0,0,9
A1,1.08333333333333,JML,0,0,0
A1,0,JML,0,0,0
A2,1.41666666666667,JML,0,0,0
A1,0.666666666666667,ERS,0,0,0
A1,1.33333333333333,ERS,0,0,0
A1,0.416666666666667,ERS,0,0,0
A0,0.333333333333333,ERS,0,0,0
A1,0.416666666666667,ERS,0,0,0
A1,1.41666666666667,ERS,0,13,0
A1,0.416666666666667,ERS,0,0,0
A0,0.416666666666667,ERS,0,0,0
A3,4.41666666666667,ERS,0,4,13
A1,1.41666666666667,SCN,0,0,0
A1,1.58333333333333,ERS,0,0,9
A2,2.41666666666667,MSB,0,0,0
A1,3.25,ERS,0,0,0
A1,0.583333333333333,ERS,0,0,0
A2,1.33333333333333,ERS,0,11,19
A3,4.41666666666667,PBO,2.5,5,4
A2,2.75,EMA,0,0,0
A2,0.416666666666667,EMA,0,0,0
A2,1.33333333333333,EMA,0,0,0
A0,1.25,EMA,0,0,0
A1,0.416666666666667,EMA,0,0,0
Stagiaire,0.916666666666667,SCN,0,0,0
A1,0.333333333333333,EMA,0,0,0
A0,0.333333333333333,EMA,0,23,19
A0,0.333333333333333,EMA,0,0,0
A1;;;;;
A2,3.41666666666667,IKA,0,0,0
A0,0.583333333333333,PLG,0,0,0
A1,1.33333333333333,PLG,0,0,0
A1,0.416666666666667,PLG,0,0,0
A0,0.416666666666667,PLG,0,0,0
A0,0.416666666666667,PLG,0,0,0
A1,1.41666666666667,PLG,0,0,0
A1,0.916666666666667,PLG,0,0,0
A1,1.41666666666667,PLG,0,0,0
A0,0.333333333333333,PLG,0,0,0
A0,0.333333333333333,PLG,4,19,8.5
A0,0.333333333333333,PLG,0,0,0
A1,1.41666666666667,PLG,0,0,0
A0;;;;;
A3,6.5,PBO,0,0,0
A1,0.416666666666667,RGG,0,0,15
A1,0.416666666666667,RGG,0,0,0
A0,0.416666666666667,RGG,2,9,8
A1,0.333333333333333,RGG,0,18,19
A1,0.333333333333333,RGG,0,0,0
A1,0.333333333333333,RGG,0,0,0
A1,0.333333333333333,RGG,0,0,0
A1,0.25,RGG,0,0,0
A1,0.25,RGG,0,0,0
A1,0.166666666666667,RGG,0,0,0
A1,1.33333333333333,RGG,0,0,5
A0,0.0833333333333333,RGG,0,6,19
A3,3.25,OBA,0,0,0
A1,0.333333333333333,OBA,2,5,10
A0,0.333333333333333,OBA,0,10,9
A1,0.333333333333333,OBA,0,0,0
A1,0.333333333333333,OBA,6,21,19
A0,0.333333333333333,OBA,2,1,7
A1,0.25,OBA,0,0,0
A0,0.25,OBA,0,0,19
